frm,height,pxW,cmW,gsdE,gsdT,predE(cm),predT(cm),errorE2,errorT2
481,85.76,64.44,174,2.794,2.864,180.04536,184.55615999999998,36.54637752959986,111.43251394559951
482,85.76,61.925,174,2.794,2.864,173.01845,177.3532,0.9634404024999972,11.243950239999911
484,85.74,68.94,174,2.793,2.864,192.54942,197.44415999999998,344.0809823363999,549.6286381055992
485,85.74,64.46,174,2.793,2.864,180.03678,184.61343999999997,36.442712768399915,112.64510863359934
487,85.74,63.464999999999996,174,2.793,2.864,177.257745,181.76376,10.612902485025,60.275969337599854
488,85.74,63.97,174,2.793,2.864,178.66821000000002,183.21007999999998,21.79218460410015,84.82557360639957
489,85.71,60.98,174,2.792,2.863,170.25616,174.58574,14.016337945600045,0.34309134759998483
491,85.71,67.98,174,2.792,2.863,189.80016,194.62674,249.64505602560016,425.4624030276005
492,85.71,69.0,174,2.792,2.863,192.648,197.547,347.74790399999983,554.4612089999998
494,85.71,68.0,174,2.792,2.863,189.856,194.684,251.41273599999982,427.8278559999999
495,85.68,64.0,174,2.791,2.862,178.624,183.168,21.381375999999957,84.05222400000012
502,85.65,62.99,174,2.79,2.861,175.74210000000002,180.21439,3.0349124100000764,38.618643072100106
504,85.65,61.98,174,2.79,2.861,172.92419999999998,177.32478,1.1573456400000326,11.054162048400027
505,85.65,67.98,174,2.79,2.861,189.66420000000002,194.49078000000003,245.3671616400007,419.8720650084012
506,85.63,65.96,174,2.79,2.86,184.02839999999998,188.64559999999997,100.56880655999953,214.49359935999922
507,85.63,65.96,174,2.79,2.86,184.02839999999998,188.64559999999997,100.56880655999953,214.49359935999922
509,85.63,60.94,174,2.79,2.86,170.02259999999998,174.2884,15.819710760000136,0.08317455999999757
513,85.59,65.91,174,2.789,2.859,183.82299,188.43669,96.49113254010008,208.41801815609998
514,85.59,63.425,174,2.789,2.859,176.892325,181.332075,8.365543905624998,53.759323805625044
520,85.56,64.87,174,2.788,2.858,180.85756,185.39846000000003,47.02612915360009,129.92489037160064
523,85.56,63.870000000000005,174,2.788,2.858,178.06956,182.54046000000002,16.561318593599964,72.93945701160041
524,85.56,65.375,174,2.788,2.858,182.26549999999997,186.84175000000002,68.31849024999958,164.9105430625005
525,85.53,62.885000000000005,174,2.787,2.857,175.26049500000002,179.66244500000002,1.5888476450250508,32.06328337802522
526,85.53,65.32499999999999,174,2.787,2.857,182.06077499999995,186.633525,64.9760936006242,159.6059539256248
